證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
030592,臺指反元大11購04,"150,000",1,"67,500",0.45,0.45,0.45,0.45,+,0.01,0.41,499,0.42,499,6.41
030593,美指2X元大0A購01,0,0,0,--,--,--,--, ,0.00,0.22,100,0.32,10,16.80
030594,元金2X元大0B購01,"235,000",3,"426,550",1.81,1.85,1.81,1.84,-,0.33,1.82,100,1.92,10,27.10
030595,力山元大0C購01,0,0,0,--,--,--,--, ,0.00,0.42,100,0.52,10,77.40
030596,岱宇元大0A購02,"470,000",5,"200,200",0.38,0.44,0.38,0.44,+,0.04,0.44,499,0.45,100,102.50
030597,永豐餘元大0A購01,0,0,0,--,--,--,--, ,0.00,4.76,100,--,0,44.30
030598,東鋼元大0A購01,0,0,0,--,--,--,--, ,0.00,1.70,100,1.80,10,48.10
030599,東鋼元大0A購02,0,0,0,--,--,--,--, ,0.00,1.28,100,1.38,10,48.10
030600,大成鋼元大0A購03,"259,000",14,"1,375,850",5.15,5.50,5.10,5.10,-,0.05,5.10,100,5.15,50,45.95
030601,聯電元大0A購03,"62,000",15,"77,240",1.22,1.35,1.19,1.35,+,0.02,1.36,100,1.37,50,53.30
030602,仁寶元大0A購01,"90,000",1,"44,100",0.49,0.49,0.49,0.49,+,0.02,0.53,100,0.54,50,23.05
030603,廣宇元大12購01,"42,000",5,"24,540",0.58,0.59,0.57,0.59,-,0.05,0.58,100,0.59,30,40.45
030604,友訊元大0A購01,"1,000,000",3,"295,010",0.29,0.30,0.29,0.30, ,0.00,0.31,100,0.32,50,19.15
030605,華邦電元大0A購01,"20,000",1,"43,000",2.15,2.15,2.15,2.15, ,0.00,2.19,100,2.29,10,34.45
030606,華邦電元大12購01,"26,000",4,"38,410",1.41,1.50,1.40,1.50,+,0.01,1.47,110,1.55,2,34.45
030607,致茂元大0A購01,"31,000",4,"40,720",1.30,1.34,1.30,1.30,-,0.05,1.26,100,1.27,50,198.00
030608,南亞科元大0A購02,0,0,0,--,--,--,--, ,0.00,0.43,100,--,0,78.90
030609,南亞科元大0C購01,"80,000",7,"43,190",0.53,0.65,0.53,0.65,-,0.03,0.55,100,0.65,9,78.90
03060F,恒指麥證06購01,"5,000",4,"1,200",0.23,0.26,0.23,0.23,X,0.00,0.23,998,0.24,998,0.00
03060X,元展55,0,0,0,--,--,--,--, ,0.00,14.60,100,15.60,10,85.30
030610,聯發科元大0A購07,"51,000",6,"48,450",0.95,0.95,0.95,0.95,X,0.00,0.90,100,1.00,10,978.00
030611,盟立元大0A購01,0,0,0,--,--,--,--, ,0.00,0.35,100,0.36,50,44.80
030612,宏達電元大0B購01,0,0,0,--,--,--,--, ,0.00,3.06,100,3.16,10,40.60
030613,長榮元大0A購08,0,0,0,--,--,--,--, ,0.00,21.00,100,--,0,136.50
